Jenis Undi,Kod Parlimen,Nama Parlimen,Kod DUN,Nama DUN,KOD DM,Nama Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi,Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),PH,PH_CALON,PH_UNDI,BN,BN_CALON,BN_UNDI,LAIN1,LAIN1_CALON,LAIN1_UNDI,Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/08,TAMAN SERI ANDALAS 1,SEKOLAH KEBANGSAAN TAMAN SRI ANDALAS KLANG,6,263,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,203,UMNO,LOKMAN NOOR BIN ADAM,59,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,263,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/08,TAMAN SERI ANDALAS 1,SEKOLAH KEBANGSAAN TAMAN SRI ANDALAS KLANG,7,241,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,190,UMNO,LOKMAN NOOR BIN ADAM,50,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,240,1,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/08,TAMAN SERI ANDALAS 1,SEKOLAH KEBANGSAAN TAMAN SRI ANDALAS KLANG,8,190,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,131,UMNO,LOKMAN NOOR BIN ADAM,57,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,189,1,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/08,TAMAN SERI ANDALAS 1,SEKOLAH KEBANGSAAN TAMAN SRI ANDALAS KLANG,9,217,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,158,UMNO,LOKMAN NOOR BIN ADAM,58,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,217,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/08,TAMAN SERI ANDALAS 1,SEKOLAH KEBANGSAAN TAMAN SRI ANDALAS KLANG,10,207,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,133,UMNO,LOKMAN NOOR BIN ADAM,72,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,206,1,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/08,TAMAN SERI ANDALAS 1,SEKOLAH KEBANGSAAN TAMAN SRI ANDALAS KLANG,11,215,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,149,UMNO,LOKMAN NOOR BIN ADAM,66,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,215,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/08,TAMAN SERI ANDALAS 1,SEKOLAH KEBANGSAAN TAMAN SRI ANDALAS KLANG,12,235,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,170,UMNO,LOKMAN NOOR BIN ADAM,63,BEBAS - PEN,MURTHY A/L KRISHNASAMY,2,235,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/08,TAMAN SERI ANDALAS 1,SEKOLAH KEBANGSAAN TAMAN SRI ANDALAS KLANG,13,270,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,194,UMNO,LOKMAN NOOR BIN ADAM,75,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,270,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/09,TAMAN SERI ANDALAS 2,SEKOLAH MENENGAH KEBANGSAAN SRI ANDALAS KLANG,1,199,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,115,UMNO,LOKMAN NOOR BIN ADAM,81,BEBAS - PEN,MURTHY A/L KRISHNASAMY,2,198,1,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/09,TAMAN SERI ANDALAS 2,SEKOLAH MENENGAH KEBANGSAAN SRI ANDALAS KLANG,2,236,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,129,UMNO,LOKMAN NOOR BIN ADAM,106,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,235,1,0
